■  조회 - 옵션,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
상품/지수옵션 종목 리스트,,,,,,,
GET /v3/market/closed/derivative/options/{marketcode}/lists,,,,,,,
,,,,,,,
응답 리스트,,,,,,,
NO,항목명,,,한글명,모드,길이,설명
,,,,,,,
상품/지수옵션 종목 호가,,,,,,,
GET /v3/market/realtime/derivative/options/{marketcode}/{issuecode}/oederbook,,,,,,,
,,,,,,,
응답 리스트,,,,,,,
NO,항목명,,,한글명,데이터 타입,길이,설명
1,isuSrtCd,,,종목단축코드,string,12,
2,bidTotOrdRqty,,,매수총호가잔량,number,12, 
3,bidStep1BstordPrc,,,매수1단계우선호가가격,number,11, 
4,bidStep1BstordRqty,,,매수1단계우선호가잔량,number,12, 
5,bidStep2BstordPrc,,,매수2단계우선호가가격,number,11, 
6,bidStep2BstordRqty,,,매수2단계우선호가잔량,number,12, 
7,bidStep3BstordPrc,,,매수3단계우선호가가격,number,11, 
8,bidStep3BstordRqty,,,매수3단계우선호가잔량,number,12, 
9,bidStep4BstordPrc,,,매수4단계우선호가가격,number,11, 
10,bidStep4BstordRqty,,,매수4단계우선호가잔량,number,12, 
11,bidStep5BstordPrc,,,매수5단계우선호가가격,number,11, 
12,bidStep5BstordRqty,,,매수5단계우선호가잔량,number,12, 
13,askTotOrdRqty,,,매도총호가잔량,number,12, 
14,askStep1BstordPrc,,,매도1단계우선호가가격,number,11, 
15,askStep1BstordRqty,,,매도1단계우선호가잔량,number,12, 
16,askStep2BstordPrc,,,매도2단계우선호가가격,number,11, 
17,askStep2BstordRqty,,,매도2단계우선호가잔량,number,12, 
18,askStep3BstordPrc,,,매도3단계우선호가가격,number,11, 
19,askStep3BstordRqty,,,매도3단계우선호가잔량,number,12, 
20,askStep4BstordPrc,,,매도4단계우선호가가격,number,11, 
21,askStep4BstordRqty,,,매도4단계우선호가잔량,number,12, 
22,askStep5BstordPrc,,,매도5단계우선호가가격,number,11, 
23,askStep5BstordRqty,,,매도5단계우선호가잔량,number,12, 
24,bidValidOrdCnt,,,매수유효호가건수,number,11, 
25,bidStep1BstordCnt,,,매수1단계우선호가건수,number,11, 
26,bidStep2BstordCnt,,,매수2단계우선호가건수,number,11, 
27,bidStep3BstordCnt,,,매수3단계우선호가건수,number,11, 
28,bidStep4BstordCnt,,,매수4단계우선호가건수,number,11, 
29,bidStep5BstordCnt,,,매수5단계우선호가건수,number,11, 
30,askValidOrdCnt,,,매도유효호가건수,number,11, 
31,askStep1BstordCnt,,,매도1단계우선호가건수,number,11, 
32,askStep2BstordCnt,,,매도2단계우선호가건수,number,11, 
33,askStep3BstordCnt,,,매도3단계우선호가건수,number,11, 
34,askStep4BstordCnt,,,매도4단계우선호가건수,number,11, 
35,askStep5BstordCnt,,,매도5단계우선호가건수,number,11, 
36,ordAcptTm,,,호가접수시각,string,11,HHMMSSmm
37,deemTrdPrc,,,예상체결가격,number,11, 
,,,,,,,
,,,,,,,
,,,,,,,
시장별 투자자별 매매동향,,,,,,,
GET /v3/market/realtime/derivative/options/{marketcode}/market/investors,,,,,,,
,,,,,,,
응답 리스트,,,,,,,
NO,항목명,,,한글명,모드,길이,설명
1,Tm,,,장시간,string,8,HHMMSSmm
2,invstLists,,,투자자리스트,Array,4, 
3,,invstCd,,투자자코드,string,4,☞별첨 '투자자코드표' 참조
4,,#ERROR!,,옵션콜누적매도체결수량,#ERROR!,#ERROR!,#ERROR!
5,,#ERROR!,,옵션콜누적매도거래대금,#ERROR!,#ERROR!,#ERROR!
6,,#ERROR!,,옵션콜누적매수체결수량,#ERROR!,#ERROR!,#ERROR!
7,,#ERROR!,,옵션콜누적매수거래대금,#ERROR!,#ERROR!,#ERROR!
8,,#ERROR!,,옵션풋누적매도체결수량,#ERROR!,#ERROR!,#ERROR!
9,,#ERROR!,,옵션풋누적매도거래대금,#ERROR!,#ERROR!,#ERROR!
10,,#ERROR!,,옵션풋누적매수체결수량,#ERROR!,#ERROR!,#ERROR!
11,,#ERROR!,,옵션풋누적매수거래대금,#ERROR!,#ERROR!,#ERROR!
,,,,,,,
,,,,,,,
,,,,,,,
상품/지수옵션 일중,,,,,,,
GET /v3/market/realtime/derivative/options/{marketcode}/{issuecode}/intraday,,,,,,,
,,,,,,,
요청 매개변수,,,,,,,* 최대 100건 까지만 조회 가능
NO,항목명,,,한글명,데이터 타입,필수,설명
1,#ERROR!,,,일중전송주기구분코드,#ERROR!,Y,#ERROR!
2,inqStrtDd,,,조회시작일자,string,N,
3,#ERROR!,,,"개시시각,시작시각",#ERROR!,Y,#ERROR!
4,#ERROR!,,,종료시각,#ERROR!,Y,#ERROR!
,,,,,,,
응답 리스트,,,,,,,
NO,항목명,,,한글명,데이터 타입,길이,설명
1,#ERROR!,,,종목단축코드,#ERROR!,#ERROR!,#ERROR!
2,#ERROR!,,,종목명,#ERROR!,#ERROR!,#ERROR!
3,#ERROR!,,,과거리스트,#ERROR!,#ERROR!,#ERROR!
4,,#ERROR!,,일중시간,#ERROR!,#ERROR!,#ERROR!
5,,#ERROR!,,일중시가,#ERROR!,#ERROR!,#ERROR!
6,,#ERROR!,,일중고가,#ERROR!,#ERROR!,#ERROR!
7,,#ERROR!,,일중저가,#ERROR!,#ERROR!,#ERROR!
8,,#ERROR!,,일중종가,#ERROR!,#ERROR!,#ERROR!
9,,inddTrdvol,,일중거래량,number,11,"일중데이타(10초, 1분, 10분) 구간 거래량"
10,,inddTrdval,,일중거래대금,number,11,"일중데이타(10초, 1분, 10분) 구간 거래대금"
11,,inddAccTrdvol,,일중누적거래량,number,11,일중 누적거래량
12,,inddAccTrdval,,일중누적대금,number,11,일중 누적거래대금
,,,,,,,
상품/지수옵션 종목 히스토리,,,,,,,
GET /v3/market/closed/derivative/options/{marketcode}/{issucode}/history,,,,,,,
,,,,,,,
요청 매개변수,,,,,,,
NO,항목명,,,한글명,데이터 타입,필수,설명
3,trnsmCycleTpCd,,,전송주기구분코드,string,Y,D:일 W:주 M:월 
4,inqStrtDd,,,조회시작일자,string,Y,일주월차트
5,inqEndDd,,,조회종료일자,string,Y,일주월차트
6,reqCnt,,,요청건수,number,Y,최대 100건
,,,,,,,
응답 리스트,,,,,,,
NO,항목명,,,한글명,데이터 타입,길이,설명
1,isuSrtCd,,,종목단축코드,string,9,에) KR4201KC1756 → 201KC175
